t-5,t-4,t-3,t-2,t-1,t
2080,1892,1130,2279,1926,1233
1892,1130,2279,1926,1233,1424
1130,2279,1926,1233,1424,1304
2279,1926,1233,1424,1304,1900
1926,1233,1424,1304,1900,1876
1233,1424,1304,1900,1876,1607
1424,1304,1900,1876,1607,2130
1304,1900,1876,1607,2130,2043
1900,1876,1607,2130,2043,1593
1876,1607,2130,2043,1593,1940
1607,2130,2043,1593,1940,1977
2130,2043,1593,1940,1977,1898
2043,1593,1940,1977,1898,1323
1593,1940,1977,1898,1323,2035
1940,1977,1898,1323,2035,2279
1977,1898,1323,2035,2279,834
1898,1323,2035,2279,834,1579
1323,2035,2279,834,1579,2416
2035,2279,834,1579,2416,2168
2279,834,1579,2416,2168,1982
834,1579,2416,2168,1982,2034
1579,2416,2168,1982,2034,1426
2416,2168,1982,2034,1426,1717
2168,1982,2034,1426,1717,1951
1982,2034,1426,1717,1951,1287
2034,1426,1717,1951,1287,1149
1426,1717,1951,1287,1149,1038
1717,1951,1287,1149,1038,1269
1951,1287,1149,1038,1269,1795
1287,1149,1038,1269,1795,908
1149,1038,1269,1795,908,1818
1038,1269,1795,908,1818,1541
1269,1795,908,1818,1541,1278
1795,908,1818,1541,1278,2098
908,1818,1541,1278,2098,2117
1818,1541,1278,2098,2117,1925
1541,1278,2098,2117,1925,1058
1278,2098,2117,1925,1058,2151
2098,2117,1925,1058,2151,1616
2117,1925,1058,2151,1616,1567
1925,1058,2151,1616,1567,1991
1058,2151,1616,1567,1991,2143
2151,1616,1567,1991,2143,1813
1616,1567,1991,2143,1813,1794
1567,1991,2143,1813,1794,1426
1991,2143,1813,1794,1426,1672
2143,1813,1794,1426,1672,1803
1813,1794,1426,1672,1803,936
1794,1426,1672,1803,936,1108
1426,1672,1803,936,1108,1871
1672,1803,936,1108,1871,815
1803,936,1108,1871,815,1611
936,1108,1871,815,1611,1541
1108,1871,815,1611,1541,1828
1871,815,1611,1541,1828,1731
815,1611,1541,1828,1731,1148
1611,1541,1828,1731,1148,1121
1541,1828,1731,1148,1121,2023
1828,1731,1148,1121,2023,2035
1731,1148,1121,2023,2035,1402
1148,1121,2023,2035,1402,2394
1121,2023,2035,1402,2394,1557
2023,2035,1402,2394,1557,2388
2035,1402,2394,1557,2388,1474
1402,2394,1557,2388,1474,1693
2394,1557,2388,1474,1693,1643
1557,2388,1474,1693,1643,1738
2388,1474,1693,1643,1738,1533
1474,1693,1643,1738,1533,1372
1693,1643,1738,1533,1372,1588
1643,1738,1533,1372,1588,2075
1738,1533,1372,1588,2075,1227
1533,1372,1588,2075,1227,1505
1372,1588,2075,1227,1505,1380
1588,2075,1227,1505,1380,1468
2075,1227,1505,1380,1468,1551
1227,1505,1380,1468,1551,1617
1505,1380,1468,1551,1617,1563
1380,1468,1551,1617,1563,1382
1468,1551,1617,1563,1382,1797
1551,1617,1563,1382,1797,2079
1617,1563,1382,1797,2079,1453
1563,1382,1797,2079,1453,1151
1382,1797,2079,1453,1151,1573
1797,2079,1453,1151,1573,1461
